Gamma,Converged,Iterations,Total_Time,Optimal_Value,LB,UB,Gap,Num_Scenarios
0,False,100,2.2506470680236816,,-89773.69024402501,-78268.9975628473,11504.692681177708,101
1,False,100,2.4185121059417725,,-91110.81166373898,-78714.70470275196,12396.106960987017,101
2,False,100,2.377652883529663,,-92378.85522740794,-79137.38589064161,13241.469336766328,101
3,False,100,2.569105863571167,,-93376.26428632326,-79469.85557694672,13906.408709376541,101
4,False,100,2.41245436668396,,-94180.51908024708,-79737.94050825466,14442.578571992417,101
5,False,100,2.661400079727173,,-94925.07706594399,-79986.12650348697,14938.950562457016,101
