Gamma,Converged,Iterations,Total_Time,Optimal_Value,LB,UB,Gap,Num_Scenarios
0,True,1,0.02601313591003418,-17720.29096598648,-17720.29096598648,-17720.290965986467,1.4551915228366852e-11,1
1,True,1,0.01720881462097168,-16909.303260321838,-16909.303260321838,-17720.290965986467,-810.9877056646292,1
2,True,1,0.016152143478393555,-16263.625348949743,-16263.625348949743,-17720.290965986467,-1456.6656170367241,1
3,True,1,0.015182971954345703,-15821.167451229576,-15821.167451229576,-17720.290965986467,-1899.1235147568914,1
4,True,1,0.016623735427856445,-15472.463117017222,-15472.463117017222,-17720.290965986467,-2247.8278489692457,1
5,True,1,0.01585984230041504,-15094.799947285543,-15094.799947285543,-17720.290965986467,-2625.4910187009245,1
