Gamma,Converged,Iterations,Total_Time,Optimal_Value,LB,UB,Gap,Num_Scenarios
0,False,1,0.045891761779785156,-89773.69024402501,-89773.69024402501,-78268.9975628473,11504.692681177708,1
1,False,2,0.02232193946838379,-91110.81166373898,-91110.81166373898,-78714.70470275196,12396.106960987017,2
2,False,2,0.019489049911499023,-92378.85522740794,-92378.85522740794,-79137.38589064161,13241.469336766328,2
3,False,2,0.018723726272583008,-93376.26428632326,-93376.26428632326,-79469.85557694672,13906.408709376541,2
4,False,2,0.019047021865844727,-94180.51908024708,-94180.51908024708,-79737.94050825466,14442.578571992417,2
5,False,2,0.021832942962646484,-94925.07706594399,-94925.07706594399,-79986.12650348697,14938.950562457016,2
