Gamma,Converged,Iterations,Total_Time,Optimal_Value,LB,UB,Gap,Num_Scenarios
0,False,1,0.026769161224365234,-31239.095075057197,-31239.095075057197,-17720.290965986467,13518.80410907073,1
1,False,2,0.037405967712402344,-31412.360680697424,-31412.360680697424,-17720.290965986504,13692.06971471092,2
2,False,2,0.034403085708618164,-31537.714374925177,-31537.714374925177,-17720.290965986504,13817.423408938674,2
3,False,2,0.03373217582702637,-31634.919281463193,-31634.919281463193,-17720.290965986504,13914.62831547669,2
4,False,2,0.03404808044433594,-31714.214345179007,-31714.214345179007,-17720.290965986504,13993.923379192503,2
5,False,2,0.03288412094116211,-31790.915036167025,-31790.915036167025,-17720.2909659865,14070.624070180525,2
